,cell_zid,adm_zid,geometry
0,32909,216,"POLYGON ((37.02561751031512 55.14474813716326, 37.02556422002536 55.1492398860202, 37.03340740451146 55.14927015689645, 37.04125060362923 55.14929992373602, 37.04909381713915 55.14932918598869, 37.049144464726 55.1448374222931, 37.04919509816609 55.14034565578318, 37.04135364622309 55.14031640325421, 37.03351220866129 55.14028664630594, 37.03345981389939 55.14477840355769, 37.02561751031512 55.14474813716326))"
1,33264,216,"POLYGON ((37.04125060362923 55.14929992373602, 37.04119906074389 55.15379167920579, 37.04904315540631 55.1538209463219, 37.05688726230544 55.15384970875827, 37.06473138503674 55.1538779654305, 37.06478028635139 55.14938619672522, 37.06482917210921 55.14489442355641, 37.0569868114702 55.14486617517827, 37.049144464726 55.1448374222931, 37.04909381713915 55.14932918598869, 37.04125060362923 55.14929992373602))"
2,33614,216,"POLYGON ((37.01766686411366 55.15370085093732, 37.01761266268154 55.1581925868504, 37.0254575947946 55.15822337308892, 37.03330253988818 55.15825365456958, 37.04114750154607 55.15828343130504, 37.04119906074389 55.15379167920579, 37.04125060362923 55.14929992373602, 37.03340740451146 55.14927015689645, 37.02556422002536 55.1492398860202, 37.02551091485807 55.1537316309632, 37.01766686411366 55.15370085093732))"
3,33619,216,"POLYGON ((37.05688726230544 55.15384970875827, 37.05683746782502 55.15834147050997, 37.06468247195365 55.15836973297549, 37.07252748974678 55.15839749068046, 37.08037252097546 55.15842474197824, 37.08041967120675 55.153932966936, 37.08046681019148 55.14944118799408, 37.07262354156165 55.14941394520525, 37.06478028635139 55.14938619672522, 37.06473138503674 55.1538779654305, 37.05688726230544 55.15384970875827))"
4,33621,216,"POLYGON ((37.09615338475322 55.14949416196681, 37.08831009005705 55.14946792727634, 37.08046681019148 55.14944118799408, 37.08041967120675 55.153932966936, 37.08037252097546 55.15842474197824, 37.0882175653586 55.15845149015644, 37.09606262266762 55.15847773356851, 37.09610801005052 55.15398594917156, 37.09615338475322 55.14949416196681))"
5,33623,216,"POLYGON ((37.11184001190944 55.14954511754542, 37.10399669211935 55.14951989205709, 37.09615338475322 55.14949416196681, 37.09610801005052 55.15398594917156, 37.09606262266762 55.15847773356851, 37.10390769265626 55.15850347221265, 37.11175277507829 55.15852870608713, 37.11179639958774 55.15403691321922, 37.11184001190944 55.14954511754542))"
6,33968,216,"POLYGON ((37.03330253988818 55.15825365456958, 37.03325008656928 55.16274539781516, 37.04109592986639 55.16277517950016, 37.04894178757208 55.16280445634661, 37.0567876594401 55.1628332283525, 37.05683746782502 55.15834147050997, 37.05688726230544 55.15384970875827, 37.04904315540631 55.1538209463219, 37.04119906074389 55.15379167920579, 37.04114750154607 55.15828343130504, 37.03330253988818 55.15825365456958))"
7,34317,216,"POLYGON ((37.03330253988818 55.15825365456958, 37.0254575947946 55.15822337308892, 37.01761266268154 55.1581925868504, 37.01755844417944 55.16268432048586, 37.01750421245163 55.16717605021437, 37.02535090806698 55.16720684668885, 37.03319761858921 55.16723713824494, 37.03325008656928 55.16274539781516, 37.03330253988818 55.15825365456958))"
8,34322,216,"POLYGON ((37.04894178757208 55.16280445634661, 37.04889108336874 55.16729620659379, 37.05673783713326 55.16732498338251, 37.06458460387331 55.1673532541449, 37.07243138523381 55.16738102107887, 37.07247944468958 55.16288925673832, 37.07252748974678 55.15839749068046, 37.06468247195365 55.15836973297549, 37.05683746782502 55.15834147050997, 37.0567876594401 55.1628332283525, 37.04894178757208 55.16280445634661))"
9,34324,216,"POLYGON ((37.0882175653586 55.15845149015644, 37.08037252097546 55.15842474197824, 37.07252748974678 55.15839749068046, 37.07247944468958 55.16288925673832, 37.07243138523381 55.16738102107887, 37.08027818098055 55.1674082830859, 37.08812498895731 55.16743503960918, 37.08817128362047 55.16294326683526, 37.0882175653586 55.15845149015644))"
10,34326,216,"POLYGON ((37.10390769265626 55.15850347221265, 37.09606262266762 55.15847773356851, 37.0882175653586 55.15845149015644, 37.08817128362047 55.16294326683526, 37.08812498895731 55.16743503960918, 37.09597180986404 55.16746129174678, 37.10381864346006 55.16748703894864, 37.10386317427444 55.16299525753212, 37.10390769265626 55.15850347221265))"
