,nearest_cell_zid,geometry
0,113869,POINT (37.737104596844 55.792477729093)
1,118793,POINT (37.528188024524 55.829533341156)
2,106936,POINT (37.831418654426 55.730793376613)
3,114430,POINT (37.68745397389 55.789312896053)
4,123058,POINT (37.663392611326 55.865281922)
5,103357,POINT (37.476880243472 55.716928593199)
6,112732,POINT (37.743305031039 55.772537742428)
7,122500,POINT (37.430869965001 55.865874122846)
8,136313,POINT (37.147459424004 55.99047797417)
9,98025,POINT (37.644150421058 55.664190847244)
10,111562,POINT (37.465390366578 55.772346054407)
11,111016,POINT (37.703445442144 55.767932357295)
12,117164,POINT (37.455288263615 55.817097016351)
13,102807,POINT (37.828269923576 55.703477194271)
14,110447,POINT (37.808018465304 55.756951451191)
15,116074,POINT (37.480616929386 55.806515684387)
16,124049,POINT (37.554719786391 55.877740259437)
17,102774,POINT (37.562084952613 55.701846958291)
18,99205,POINT (37.580573515695 55.66810269542)
19,115007,POINT (37.802094152178 55.799793422092)
20,114414,POINT (37.567925866571 55.79967891289)
21,125528,POINT (37.7054789194 55.884991359993)
22,97417,POINT (37.524884953499 55.660966466913)
23,109830,POINT (37.54106171186 55.757747794539)
